Id,SalePrice
1461,130025.734
1462,164428.61
1463,183700.88
1464,195731.9
1465,200601.39
1466,176343.19
1467,179034.27
1468,169724.12
1469,192395.05
1470,123529.02
1471,198783.53
1472,88945.47
1473,101893.484
1474,148273.3
1475,120960.984
1476,386160.6
1477,261504.45
1478,269837.22
1479,257694.1
1480,494554.66
1481,337785.0
1482,205292.39
1483,188738.16
1484,158356.27
1485,171554.25
1486,199233.47
1487,404844.25
1488,240021.69
1489,217277.62
1490,197317.17
1491,187793.64
1492,91676.67
1493,183005.27
1494,283219.44
1495,293715.12
1496,228612.48
1497,192023.62
1498,161122.53
1499,155472.66
1500,154219.64
1501,169880.27
1502,150826.77
1503,313822.62
1504,235558.84
1505,227513.72
1506,190419.95
1507,254337.22
1508,201732.84
1509,163829.03
1510,141715.11
1511,137787.05
1512,166910.19
1513,150464.06
1514,168098.34
1515,186319.5
1516,144511.27
1517,152946.66
1518,122987.86
1519,223268.55
1520,133102.6
1521,137089.56
1522,166095.61
1523,116678.35
1524,122277.34
1525,123619.8
1526,127312.61
1527,107157.73
1528,125504.64
1529,151706.05
1530,172650.0
1531,129309.75
1532,104353.07
1533,144387.36
1534,115792.6
1535,157016.73
1536,111110.28
1537,73600.35
1538,156885.62
1539,172065.28
1540,103026.4
1541,141128.36
1542,148334.56
1543,206356.97
1544,83588.61
1545,107417.28
1546,136972.81
1547,134695.39
1548,132499.94
1549,119547.305
1550,139009.92
1551,106514.016
1552,137888.69
1553,157797.39
1554,116527.46
1555,174961.08
1556,95257.81
1557,118478.164
1558,91285.61
1559,111148.77
1560,148955.05
1561,159598.52
1562,125062.25
1563,123080.695
1564,158835.77
1565,145910.38
1566,223000.0
1567,74238.03
1568,227982.78
1569,173325.95
1570,130882.234
1571,112689.77
1572,146017.8
1573,240662.1
1574,114303.234
1575,204397.64
1576,230675.48
1577,202883.42
1578,144587.08
1579,141975.0
1580,186588.92
1581,142797.77
1582,130114.65
1583,344045.38
1584,231813.42
1585,140405.61
1586,83495.26
1587,100342.94
1588,153951.42
1589,107404.914
1590,131778.44
1591,85683.805
1592,125376.25
1593,132296.62
1594,142901.66
